Rowid_,VALUE,COUNT,AREA,LAT1,LAT2
,1,"43,200",0.000062375400000,-90.000000000000000,-89.991667000000007
,2,"43,200",0.000187126300000,-89.991667000000007,-89.983333000000002
,3,"43,200",0.000311877200000,-89.983333000000002,-89.974999999999994
,4,"43,200",0.000436628000000,-89.974999999999994,-89.966667000000001
,5,"43,200",0.000561378900000,-89.966667000000001,-89.958332999999996
,6,"43,200",0.000686129700000,-89.958332999999996,-89.950000000000003
,7,"43,200",0.000810880500000,-89.950000000000003,-89.941666999999995
,8,"43,200",0.000935631400000,-89.941666999999995,-89.933333000000005
,9,"43,200",0.001060382100000,-89.933333000000005,-89.924999999999997
,10,"43,200",0.001185132900000,-89.924999999999997,-89.916667000000004
,11,"43,200",0.001309883600000,-89.916667000000004,-89.908332999999999
,12,"43,200",0.001434634400000,-89.908332999999999,-89.900000000000006
,13,"43,200",0.001559385000000,-89.900000000000006,-89.891666999999998
,14,"43,200",0.001684135700000,-89.891666999999998,-89.883332999999993
,15,"43,200",0.001808886300000,-89.883332999999993,-89.875000000000000
,16,"43,200",0.001933636900000,-89.875000000000000,-89.866667000000007
,17,"43,200",0.002058387400000,-89.866667000000007,-89.858333000000002
,18,"43,200",0.002183137900000,-89.858333000000002,-89.849999999999994
,19,"43,200",0.002307888300000,-89.849999999999994,-89.841667000000001
,20,"43,200",0.002432638700000,-89.841667000000001,-89.833332999999996
,21,"43,200",0.002557389100000,-89.833332999999996,-89.825000000000003
,22,"43,200",0.002682139400000,-89.825000000000003,-89.816666999999995
,23,"43,200",0.002806889600000,-89.816666999999995,-89.808333000000005
,24,"43,200",0.002931639800000,-89.808333000000005,-89.799999999999997
,25,"43,200",0.003056389900000,-89.799999999999997,-89.791667000000004
,26,"43,200",0.003181139900000,-89.791667000000004,-89.783332999999999
,27,"43,200",0.003305889900000,-89.783332999999999,-89.775000000000006
,28,"43,200",0.003430639800000,-89.775000000000006,-89.766666999999998
,29,"43,200",0.003555389700000,-89.766666999999998,-89.758332999999993
,30,"43,200",0.003680139400000,-89.758332999999993,-89.750000000000000
,31,"43,200",0.003804889100000,-89.750000000000000,-89.741667000000007
,32,"43,200",0.003929638700000,-89.741667000000007,-89.733333000000002
,33,"43,200",0.004054388200000,-89.733333000000002,-89.724999999999994
,34,"43,200",0.004179137700000,-89.724999999999994,-89.716667000000001
,35,"43,200",0.004303887000000,-89.716667000000001,-89.708332999999996
,36,"43,200",0.004428636300000,-89.708332999999996,-89.700000000000003
,37,"43,200",0.004553385400000,-89.700000000000003,-89.691666999999995
,38,"43,200",0.004678134500000,-89.691666999999995,-89.683333000000005
,39,"43,200",0.004802883500000,-89.683333000000005,-89.674999999999997
,40,"43,200",0.004927632300000,-89.674999999999997,-89.666667000000004
,41,"43,200",0.005052381100000,-89.666667000000004,-89.658332999999999
,42,"43,200",0.005177129700000,-89.658332999999999,-89.650000000000006
,43,"43,200",0.005301878300000,-89.650000000000006,-89.641666999999998
,44,"43,200",0.005426626700000,-89.641666999999998,-89.633332999999993
,45,"43,200",0.005551375000000,-89.633332999999993,-89.625000000000000
,46,"43,200",0.005676123200000,-89.625000000000000,-89.616667000000007
,47,"43,200",0.005800871300000,-89.616667000000007,-89.608333000000002
,48,"43,200",0.005925619300000,-89.608333000000002,-89.599999999999994
,49,"43,200",0.006050367100000,-89.599999999999994,-89.591667000000001
,50,"43,200",0.006175114800000,-89.591667000000001,-89.583332999999996
,51,"43,200",0.006299862400000,-89.583332999999996,-89.575000000000003
,52,"43,200",0.006424609800000,-89.575000000000003,-89.566666999999995
,53,"43,200",0.006549357100000,-89.566666999999995,-89.558333000000005
,54,"43,200",0.006674104300000,-89.558333000000005,-89.549999999999997
,55,"43,200",0.006798851300000,-89.549999999999997,-89.541667000000004
,56,"43,200",0.006923598200000,-89.541667000000004,-89.533332999999999
,57,"43,200",0.007048344900000,-89.533332999999999,-89.525000000000006
,58,"43,200",0.007173091500000,-89.525000000000006,-89.516666999999998
,59,"43,200",0.007297837900000,-89.516666999999998,-89.508332999999993
,60,"43,200",0.007422584200000,-89.508332999999993,-89.500000000000000
,61,"43,200",0.007547330300000,-89.500000000000000,-89.491667000000007
,62,"43,200",0.007672076300000,-89.491667000000007,-89.483333000000002
,63,"43,200",0.007796822100000,-89.483333000000002,-89.474999999999994
,64,"43,200",0.007921567700000,-89.474999999999994,-89.466667000000001
,65,"43,200",0.008046313200000,-89.466667000000001,-89.458332999999996
,66,"43,200",0.008171058500000,-89.458332999999996,-89.450000000000003
,67,"43,200",0.008295803600000,-89.450000000000003,-89.441666999999995
,68,"43,200",0.008420548600000,-89.441666999999995,-89.433333000000005
,69,"43,200",0.008545293300000,-89.433333000000005,-89.424999999999997
,70,"43,200",0.008670037900000,-89.424999999999997,-89.416667000000004
,71,"43,200",0.008794782300000,-89.416667000000004,-89.408332999999999
,72,"43,200",0.008919526600000,-89.408332999999999,-89.400000000000006
,73,"43,200",0.009044270600000,-89.400000000000006,-89.391666999999998
,74,"43,200",0.009169014400000,-89.391666999999998,-89.383332999999993
,75,"43,200",0.009293758100000,-89.383332999999993,-89.375000000000000
,76,"43,200",0.009418501500000,-89.375000000000000,-89.366667000000007
,77,"43,200",0.009543244800000,-89.366667000000007,-89.358333000000002
,78,"43,200",0.009667987800000,-89.358333000000002,-89.349999999999994
,79,"43,200",0.009792730700000,-89.349999999999994,-89.341667000000001
,80,"43,200",0.009917473300000,-89.341667000000001,-89.333332999999996
,81,"43,200",0.010042215700000,-89.333332999999996,-89.325000000000003
